Interests 
Abseling
Acrobatics
Acroyoga
Acting
Action Figures
Adventure racing
Adventure running
Aeromodelling
Aikido
Airbrushing
Aircraft Spotting
Airplane Combat
Airplane Flight
Airsofting
All terrain vehicle
Alligator Wrestling
Alpine skiing
Amateur Astronomy
Amateur Radio
American football
American handball
Animals
Ant Farm
Ant Keeping
Antique Car
Antiques
Antiquing
Aquarium (Freshwater & Saltwater)
Archery
Architectural models
Arena football
Arts
Arts & Crafts
Artwork
Astrology
Astronomy
Athletics
Australian Football
Australian rules football
Auto Racing
Backgammon
Badminton
Baking
Bandy
Barefooting
Base Jumping
Baseball
Baseball - Softball
Basketball
Basketball 3x3
Basque pelota
Baton Twirling
Beach rugby
Beach Volleyball
Beach-combing
Beach/Sun tanning
Beachcombing
Beachcross
Beadwork
Beatboxing
Becoming A Child Advocate
Beekeeping
Bell Ringing
Belly Dancing
Biathlon
Bicycle
Bicycle Polo
Bicycling
Biking
Billiards
Bird watching
Birding
Birdwatching
Blacksmithing
Blobbing
Blogging
BMX
BMX (Bicycle Motocross)
Board Games
Board track racing
Boating
Bobsledding
Bobsleigh
Bodybuilding
Bonsai Tree
Book
Book Restoration
Bookbinding
Boomerangs
Boules
Bowling
Boxing
Brännboll
Brazilian Jiu-Jitsu (BJJ)
Breaking
Brewing Beer
Bridge Building
Bring Food To The Disabled
Building Dollhouses
Bungee Jumping
Bus Spotting
Butterfly Watching
Button Collecting
Buttons
Cake Decorating
Calcio Fiorentino
Calligraphy
Camping
Canadian football
Candle Making
Candy Making
Canning
Canoe polo
Canoe Slalom
Canoe Sprint
Canoeing
Canyon Swinging
Capoeira
Car
Car Racing
Card
Cardboard engineering
Cardio Workout
Cardstacking
Cartooning
Casino Gambling
Cave Diving
Ceramics
Cheer-leading
Cheerleading
Chess
Church/church activities
Cigar Enthusiast
Cigar Smoking
Classic Car Restoration
Cliff Diving
Climbing
Cloud Watching
Co-splaying
Coaching and Mentoring
Codeball
Coffee roasting
Coin Collecting
Collecting
Collecting Antiques
Collecting Artwork
Collecting Hats
Collecting Music Albums
Collecting RPM Records
"Collecting Sports Cards (Baseball, Football, Basketball, Hockey)"
Collecting Swords
Color Guard
Coloring
Comic Books
Compose Music
Computer activities
Con-worlding
Contact Juggling
Conworlding
Cooking
Cooking and Grilling
Cooking Competitions
Cosplay
Country Music
Crafts
Crafts (unspecified)
Cricket
Crochet
Crocheting
Cross country running
Cross Country Skiing
Cross-country skiing
Cross-Stitch
Crossword Puzzles
Cryptography
Cue sports
Curling
Currency Collecting
Cycling
Cycling and Mountain Biking
Cycling BMX
Cycling Mountain Bike
Cycling Road
Cycling Track
Dancing
Darts
Debate
Deltiology (postcard collecting)
Diecast Cars
Diecast Collectibles
Digital Arts
Digital Design and Coding
Digital Photography
Dirt track
Disc Golf
Diving
Dodgeball
Dog Sports
Dolls
Dolphin Watching
Dominoes
Downhill Mountain Biking
Downhill Skateboarding
Drag boat
Drag racing
Dragon boat
Drawing
Drawing and Painting
Driving
Drone racing
Dumpster Diving
Eating out
Educational
Educational Courses
Electronic dance music (EDM)
Electronic Models
Electronic Music Producing
Electronics
Elements
Elephant polo
Embroidery
English billiards
English public school football games
Entertaining
Equestrian / Dressage
Equestrianism
Equestrianism – Horseback Riding
"Eskrima, Arnis & Kali"
"Exercise (aerobics, weights)"
Extreme
Falconry
Fantasy Sports
Farming
Fashion
Fashion Design
Fast cars
Fellrunning
Felting
Fencing
Field hockey
Figure Skating
Fire Poi
Firearm models
Fish Tournaments
Fishing
Fishkeeping
Fistball
Five-pin bowling
Flag Football
Flat Track
Flickerball
Floorball
Floral Arrangements
Floral Arranging
Flowboarding
Flower arranging
Flower collecting and pressing
Fly Fishing
Fly Hunting
Fly Tying
Flying
Flying Drones
Food & Drink
Football
Football tennis
Foraging
Foreign Languages
Formula
Fossil hunting / Fossilizing
Foster Care Volunteer
Four Wheeling
Free Climbing
Freelance model
Freestyle Skiing
Freshwater Aquariums
Frisbee Golf – Frolf
Frontenis
Futsal
Gaelic football
Galotxetes
Games
Garage Saleing
Gardening
Genealogy
Geocaching
Ghost Hunting
Glassblowing
Glowsticking
Gnoming
Go Kart Racing
Going to movies
Gold Panning
Golfing
Graffiti
Grand Prix motorcycle racing
Grasstrack (aka Long Track)
Gridiron football
Grilling / BBQ
Grip Strength
Guitar
Gun Collecting
Gundam Models
Gymnastics
Gymnastics Artistic
Gyotaku
Half-rubber
Handball
Handwriting Analysis
Hang gliding
Hapkido
Hats
Herping
High Tech
Highlining
Hiking
Hip-hop
History
Home Brewing
Home Repair
Home Theater
Homebrewing Beer
Hooverball
Horseback Riding
Horseball
Hot air ballooning
Hula Hooping
Hunting
Hydroplane
Ice Climbing
Ice Cross Downhill
Ice Diving
Ice Fishing
Ice Hockey
Ice Skating
Illusion
Impersonations
Indie rock
Indoor football
Indoor Soccer
Inline Skating
Insect
Intellectual
Interior design
International rules football
Internet
Internet Marketing
Inventing
Investing
Irish road bowling
Jai alai
Janggi (Korean Chess)
Jazz
Jeet Kune Do
Jet Engines
Jet sprint boat
Jetboarding
Jewelry Making
Jigsaw Puzzles
Jiu-Jitsu
Jogging
Jousting
Judo
Juggling
Jump Roping
Jumping Rope
K-pop
Karate
Kart
Kayaking
Kendo
Kenpo
Kickboxing
Kicksled
Kitchen Chemistry
Kite Boarding
Kite Flying
Kite Surfing
Kites
Knapping
Knife Making
Knife Throwing
Knife-making
Knitting
Knotting
Kombucha Brewing
Korfball
Krav Maga
Kung Fu
Lace-making
Lacrosse
Landscaping
Lapidary
LARPing
Laser Tag
Lasers
Lawn Darts
Leathercrafting
Leatherworking
Lego building
Legos
Letter-boxing
Letterboxing
Listening to music
Live steam models
Llargues
Lockpicking
Locksport
Locomotive & Train Models
Machining
Macramé
Magic
Mahjong
Making Model Cars
Marathon running
Marathon Swimming
Marbles
Marksmanship
Martial Arts
Matchstick Modeling
Matchstick models
Meditation
Meditation and Yoga
Metal
Metal Detecting
Metal Music
Metalworking
Meteorology
Microscopy
Midget car
Military Martial Arts
Military models
Minerals
Model aircraft
Model cars
Model commercial vehicles
Model construction vehicles
Model Crafting
Model figures
Model military vehicles
Model Railroading
Model Rockets
Model Ships
Modeling Ships
Models
Mölkky
Mosaic Art
Motocross
Motorcycle Stunts
Motorcycles
Mountain Bike
Mountain Biking
Mountain Boarding
Mountain Climbing
Mountain climbing / Mountaineering
Mountain Marathon
Movie Memorabilia
Movie Watching
Muay Thai
Music
Music Albums and Records
Musical Instruments
Nail Art
Needlepoint
Netball
Nine-pin bowling
Ninjutsu
Noodling
Nordic Combined
Off Road Driving
Offroad
Offshore powerboat
Open-wheel
Organizing
Origami
Outdoors
Outrigger Canoe
Paddle ball
Paintball
Painting
Paper mache
Papermaking
Parachuting
Paragliding
Parkour
People Watching
Performing Arts
Pétanque
Pets
Philantropy
Photography
Piano
Picigin
Pickleball
Pickup truck
Pilates
Pinochle
Pipe Smoking
Planking
Playing An Instrument
Playing Board Games
Playing music
Playing team sports
Playing Tennis
Pocketbike
Poi
Poker and Cards
Pole Dancing
Polo
Pop
Pottery
Powerboking
Production Bike
Production car
Protesting
Puppetry
Puzzles
Pyrotechnics
Quidditch
Quilting
R/C Boats
R/C Cars
R/C Helicopters
R/C Planes
Racewalking
Racquetball
Radio
Radio-controlled model racing
Rafting
Rallycross
Rap
RC Hobbies
Re-Selling
Reading
Reading Books
Reading to Children
Reading To The Elderly
Rebounding
Rebuilding Motorcycles
Renaissance Faire
Rescuing Abused Or Abandoned Animals
Rhythm & blues (R&B)
Ringball
Rink bandy
Road bicycle
Road running
Robotics
Rock
Rock and Mineral Collecting
Rock Balancing
Rock band performing on stage
Rock Climbing
Rock Collecting
Rock Sports
Rock-It-Ball
Rocket Shooting
Rocketry
Rockets
Rogaining
Roller Derby
Roller hockey
Roller Skating
Roller skiing
Roque
Rounders
Rowing
Rugby
Rugby league
Rugby sevens
Rugby union
Running
Running of the Bulls
Sailing
Saltwater Aquariums
Sambo
Sand art
Sand Castles
Sandboarding
Scale model building
Scotch Tasting
